is_RT	retweet_from	whole_tweet_text	original_text	retweet_text	cleaned_retweet_text
1		"""@lvseven: @realDonaldTrump we share a birthday June 14 how about a RT for a huge fan and admirer"""	" ""@lvseven: @realDonaldTrump we share a birthday June 14 how about a"	" for a huge fan and admirer"""	for a huge fan and admirer
1	GOP	RT @GOP: Reminder: last year, Clinton pledged she had turned over all work-related email under penalty of perjury ⬇️ https://t.co/X4R7LnsSoy		 Reminder: last year, Clinton pledged she had turned over all work-related email under penalty of perjury ⬇️ https://t.co/X4R7LnsSoy	reminder last year clinton pledged she had turned over all workrelated email under penalty of perjury
1	piersmorgan	RT @piersmorgan: Trump makes a funny, obvious joke about Russia going after Hillary's emails & U.S. media goes insane with fury. He plays t…		 Trump makes a funny, obvious joke about Russia going after Hillary's emails & U.S. media goes insane with fury. He plays t…	trump makes a funny obvious joke about russia going after hillarys emails us media goes insane with fury he plays t
1	FieldofFight	RT @FieldofFight: We Can Do Better, We Must Do Better, We Will Do Better By LTG (R) Keith Kellogg and LTG (R) Michael Flynn @GenFlynn http…		 We Can Do Better, We Must Do Better, We Will Do Better By LTG (R) Keith Kellogg and LTG (R) Michael Flynn @GenFlynn http…	we can do better we must do better we will do better by ltg r keith kellogg and ltg r michael flynn genflynn
1	NFIB	RT @NFIB: .@NFIB encouraged by @realDonaldTrump’s #taxplan, says #smallbiz would benefit from lower tax rate: https://t.co/JCQCvXj9WC		 .@NFIB encouraged by @realDonaldTrump’s #taxplan, says #smallbiz would benefit from lower tax rate: https://t.co/JCQCvXj9WC	encouraged by realdonaldtrumps taxplan says smallbiz would benefit from lower tax rate
1	DRUDGE_REPORT	RT @DRUDGE_REPORT: CLINTON EMAIL LED TO EXECUTION IN IRAN? https://t.co/4rY1faptL6		 CLINTON EMAIL LED TO EXECUTION IN IRAN? https://t.co/4rY1faptL6	clinton email led to execution in iran
1	realDonaldTrump	"""@IamTN_Cheru: RT @realDonaldTrump: Success tip: Achievers move forward at all times. Achievement is not a plateau, it's a beginning."""	" ""@IamTN_Cheru:"	" Success tip: Achievers move forward at all times. Achievement is not a plateau, it's a beginning."""	success tip achievers move forward at all times achievement is not a plateau its a beginning
1	DRUDGE_REPORT	RT @DRUDGE_REPORT: FORMER HOSTAGE SAYS PLANE WAITED UNTIL MONEY ARRIVED... https://t.co/Uo0MS6w9OQ		 FORMER HOSTAGE SAYS PLANE WAITED UNTIL MONEY ARRIVED... https://t.co/Uo0MS6w9OQ	former hostage says plane waited until money arrived
1	DRUDGE_REPORT	RT @DRUDGE_REPORT: 'Win-lose deal that benefits Iran and hurts United States'... https://t.co/zqpeNCouXc		 'Win-lose deal that benefits Iran and hurts United States'... https://t.co/zqpeNCouXc	winlose deal that benefits iran and hurts united states
1	mike_pence	RT @mike_pence: Join me in Colorado, today! Look forward to seeing you! Denver- 2pm https://t.co/8VbvJYDa4F Colorado Springs- 6pm https:/…		 Join me in Colorado, today! Look forward to seeing you! Denver- 2pm https://t.co/8VbvJYDa4F Colorado Springs- 6pm https:/…	join me in colorado today look forward to seeing you denver 2pm colorado springs 6pm
